#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: constant, with a star-formation rate of 0.2 Msun/yr
# This file contains the information about the stars that are present in the population after 100000000.0 years
#   fbin:constant
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
1088	1	1	strip_postHG	    2.35985	    1.17127	  183.73555	  183.73555 	    4.08305 	    3.90568 	    1.61976 	    0.67873 	    0.25521 	    0.25231 	    0.73862 	    0.74152 	    1.62032 	    0.68266 	    0.00000 	    0.00000 	    0.16705 	    0.05126 	 4539846.18263 	 1864848.86979 	    4.47677 	    4.46447 	    2.36301 	    1.16723 	    0.00013 	    0.00024 	    0.00048 	    0.00104 	    0.00101 	    0.00216 	    0.00000 	    0.00000 	    0.86355 	    0.73775 	    0.13452 	    0.25733 	  -13.26501 	  -11.89832
1295	1	1	strip_postHG	    2.40289	    1.34844	  210.52063	  210.52063 	    4.07979 	    3.93401 	    1.66930 	    0.83187 	    0.29139 	    0.26267 	    0.70258 	    0.73111 	    1.66969 	    0.83159 	    0.00000 	    0.00000 	    0.19833 	    0.07117 	 62851325.29313 	 38561919.14324 	    4.42236 	    4.46142 	    2.40666 	    1.34526 	    0.00002 	   -0.00001 	    0.00006 	    0.00021 	    0.00013 	   -0.00039 	    0.00000 	    0.00000 	    0.97554 	    0.87577 	    0.02424 	    0.12441 	  -14.42697 	  -10.51038
1337	3	1	strip_postHG	    6.00723	    5.54638	 1226.11048	 1226.11048 	    0.00000 	    4.22332 	    0.00000 	    3.30231 	    0.00000 	    0.80302 	    0.00000 	    0.19114 	    0.00000 	    3.30291 	    0.00000 	    0.00000 	    0.00000 	    0.72778 	    0.00000 	 74465249.72807 	    0.00000 	    3.72565 	    0.00000 	    5.54146 	    0.00000 	    0.00029 	    0.00000 	    0.00097 	    0.00000 	    0.00250 	    0.00000 	    0.00000 	    0.00000 	    0.75218 	    0.00000 	    0.24241 	    0.00000 	   -9.59569
1405	1	1	merger_HG	    2.14894	    0.44276	   12.70403	   12.70403 	    4.04747 	    3.79475 	    1.47990 	    0.09498 	    0.28632 	    0.25182 	    0.70760 	    0.74200 	    1.48029 	    0.10150 	    0.00000 	    0.00000 	    0.16827 	   -0.01875 	 71045138.68658 	 2638866.41401 	    4.43328 	    4.45337 	    2.14966 	    0.43517 	    0.00000 	    0.00029 	    0.00000 	    0.00132 	    0.00000 	    0.00278 	    0.00000 	    0.00000 	    0.99561 	    0.67432 	    0.00439 	    0.31913 	  -15.76976 	  -10.86458
1462	1	1	strip_postHG	    3.06187	    2.45646	 2182.74732	 2182.74732 	    4.13899 	    4.08272 	    2.10642 	    1.72206 	    0.36708 	    0.31704 	    0.62703 	    0.67699 	    2.10671 	    1.72239 	    0.00000 	    0.00000 	    0.29848 	    0.21885 	 97277696.25470 	 96839067.62040 	    4.32631 	    4.39110 	    3.06035 	    2.46063 	    0.00011 	    0.00001 	    0.00048 	    0.00002 	    0.00075 	    0.00005 	    0.00000 	    0.00000 	    0.86700 	    0.99231 	    0.13139 	    0.00759 	  -12.29606 	  -14.79804
1468	1	1	not_interacting	    3.78383	    1.11701	 2290.41185	 2290.41185 	    4.19955 	    3.89832 	    2.40566 	    0.64296 	    0.31950 	    0.25543 	    0.67458 	    0.73838 	    2.40600 	    0.64232 	    0.00000 	    0.00000 	    0.32699 	    0.04809 	 36266201.82160 	 15379978.55483 	    4.36125 	    4.45957 	    3.78308 	    1.11270 	    0.00012 	    0.00002 	    0.00049 	    0.00054 	    0.00081 	   -0.00055 	    0.00000 	    0.00000 	    0.84858 	    0.81066 	    0.14975 	    0.18942 	  -11.72588 	  -11.13109
1533	1	1	merger_HG	    6.20430	    1.35928	    6.69060	    6.69060 	    4.30030 	    3.93528 	    3.31304 	    0.83843 	    0.55549 	    0.25938 	    0.43868 	    0.73441 	    3.31340 	    0.83805 	    0.00000 	    0.00000 	    0.57919 	    0.07192 	 41854052.96070 	 26641373.17069 	    4.07126 	    4.46217 	    6.19707 	    1.35616 	    0.00030 	   -0.00001 	    0.00102 	    0.00028 	    0.00280 	   -0.00061 	    0.00000 	    0.00000 	    0.74200 	    0.86718 	    0.25197 	    0.13321 	   -9.52366 	  -11.17110
1556	1	 - 	 single 	   6.51090	 - 	 - 	 - 	    4.33316 	 - 	    3.20201 	 - 	    0.30127 	 - 	    0.69282 	 - 	    3.20239 	 - 	    0.00000 	 - 	    0.45795 	 - 	 8057200.83912 	 - 	    4.33538 	 - 	    6.51288 	 - 	    0.00030 	 - 	    0.00102 	 - 	    0.00280 	 - 	    0.00000 	 - 	    0.74200 	 - 	    0.25197 	 - 	   -9.76162 	 -
1579	1	 - 	 single 	   7.71272	 - 	 - 	 - 	    4.36575 	 - 	    3.49632 	 - 	    0.37874 	 - 	    0.61541 	 - 	    3.49660 	 - 	    0.00000 	 - 	    0.53991 	 - 	 13614021.28244 	 - 	    4.24414 	 - 	    7.70205 	 - 	    0.00030 	 - 	    0.00102 	 - 	    0.00280 	 - 	    0.00000 	 - 	    0.74200 	 - 	    0.25197 	 - 	   -9.17287 	 -
1609	1	1	strip_postHG	    2.12427	    1.71243	  303.98434	  303.98434 	    4.04856 	    3.98804 	    1.44822 	    1.11883 	    0.26268 	    0.25866 	    0.73116 	    0.73515 	    1.44870 	    1.11889 	    0.00000 	    0.00000 	    0.15025 	    0.10658 	 22160146.96392 	 19348187.83983 	    4.46421 	    4.46609 	    2.12487 	    1.71102 	    0.00002 	    0.00002 	    0.00008 	    0.00025 	    0.00010 	   -0.00018 	    0.00000 	    0.00000 	    0.96086 	    0.89311 	    0.03892 	    0.10680 	  -13.61170 	  -12.25416
